price,Brand,Processor,Generation,RAM,ROM,Graphic Card
37999,HP,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
44500,Acer,Intel Core i5,12th Gen,12 GB,512 GB SSD,0
69900,ASUS,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
9990,HP,MediaTek MT8183,,4 GB,32 GB EMMC,0
10990,Primebook,MediaTek MT8183,,4 GB,64 GB EMMC,0
16990,CHUWI,Intel Celeron Dual Core,11th Gen,8 GB,256 GB SSD,0
37990,ASUS,Intel Core i3,12th Gen,16 GB,512 GB SSD,0
24499,Acer,Ryzen 3,,8 GB,256 GB SSD,0
11990,Ultimus,Intel Celeron Dual Core,,4 GB,128 GB EMMC,0
23100,HP,AMD Athlon,,8 GB,256 GB SSD,0
33880,HP,Intel Core i3,11th Gen,16 GB,512 GB SSD,0
32290,HP,Ryzen 3,,8 GB,512 GB SSD,0
19990,Acer,Intel Celeron Dual Core,,8 GB,256 GB SSD,0
19990,HP,Intel Celeron Dual Core,,4 GB,64 GB EMMC,0
17990,Infinix,Intel Celeron Quad Core,11th Gen,4 GB,128 GB SSD,0
46990,ASUS,Intel Core i5,11th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
10990,Primebook,MediaTek MT8183,,4 GB,128 GB EMMC,0
22990,HP,Intel Celeron Dual Core,,4 GB,64 GB EMMC,0
47990,ASUS,Intel Core i5,11th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
23990,Lenovo,Intel Celeron Dual Core,,8 GB,512 GB SSD,0
20990,Acer,Intel Celeron Dual Core,,8 GB,512 GB SSD,0
34990,HP,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
45990,ASUS,Ryzen 5,,8 GB,512 GB SSD,0
38990,ASUS,Intel Core i3,12th Gen,16 GB,512 GB SSD,0
36590,ASUS,Intel Core i3,12th Gen,16 GB,512 GB SSD,0
26500,Acer,Ryzen 3,,8 GB,256 GB SSD,0
25790,HP,AMD Athlon,,8 GB,512 GB SSD,0
23990,HP,Intel Celeron Dual Core,,4 GB,128 GB EMMC,0
20990,HP,Intel Celeron Dual Core,,4 GB,64 GB EMMC,0
26490,HP,Ryzen 3,,8 GB,512 GB SSD,0
95490,ASUS,Intel Core i5,13th Gen,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
12990,Ultimus,Intel Dual Core N4020,,4 GB,128 GB SSD,0
30999,HP,Ryzen 5,,8 GB,512 GB SSD,0
29990,Acer,Ryzen 3,,16 GB,512 GB SSD,0
27890,Acer,Ryzen 3,,8 GB,512 GB SSD,0
30999,Lenovo,Ryzen 3,,8 GB,512 GB SSD,0
27490,Lenovo,Ryzen 3,,8 GB,512 GB SSD,0
20990,Acer,Intel Celeron Dual Core,,8 GB,256 GB SSD,0
114990,ASUS,Qualcomm Snapdragon X Elite,,16 GB,1 TB SSD,0
164490,Apple,Apple Silicon,,16 GB,512 GB SSD,0
27990,Infinix,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
21980,ASUS,Intel Celeron Quad Core,,4 GB,256 GB SSD,0
29990,Lenovo,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
33190,DELL,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
58990,Acer,Intel Core i5,13th Gen,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
33980,ASUS,Ryzen 3,,8 GB,512 GB SSD,0
36790,Lenovo,Ryzen 5,,8 GB,512 GB SSD,0
36990,Lenovo,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
27790,HP,Ryzen 3,,8 GB,512 GB SSD,0
40190,Lenovo,Ryzen 5,,16 GB,512 GB SSD,0
27990,Lenovo,Intel Celeron Dual Core,,4 GB,256 GB SSD,0
31990,Acer,Ryzen 3,,16 GB,512 GB SSD,0
151190,Lenovo,Intel Core Ultra,,32 GB,1 TB SSD,0
27180,Lenovo,Ryzen 3,,8 GB,512 GB SSD,0
89990,HP,Intel Core i7,11th Gen,16 GB,1 TB SSD,0
22750,Acer,Intel Celeron Quad Core,,4 GB,256 GB SSD,0
